Name,Sport,Age,Height (cm),Weight (kg),Sex
Danylo Sapunov,Triathlon,30,174,64,M
Daokun Deng,Sailing,34,183,78,M
Daouda Karaboue,Handball,36,198,92,M
Darae Jeong,Swimming,20,173,64,F
Darae Kim,Hockey,25,161,55,F
Darcy Marquardt,Rowing,33,182,76,F
Daria Belyakina,Swimming,25,172,60,F
Daria Deeva,Swimming,21,181,69,F
Daria Korczynska,Athletics,31,168,60,F
Daria Pogorzelec,Judo,22,172,78,F
Daria Tykhova,Shooting,26,165,50,F
Darian Townsend,Swimming,27,195,87,M
Dariia Talanova,Swimming,16,168,52,F
Darius Draudvila,Athletics,29,187,90,M
Darius Songaila,Basketball,34,206,113,M
Dariusz Kuc,Athletics,26,176,73,M
Dariya Sharipova,Shooting,22,175,75,F
Darkhan Bayakhmetov,Wrestling,26,175,66,M
Darko Stanic,Handball,33,190,87,M
Darko Zivanovic,Athletics,25,178,64,M
Darlenis Obregon,Athletics,26,168,60,F
Darrel Castillo,Judo,19,183,100,M
Darren Murray,Swimming,21,183,72,M
Darryl Fitzgerald,Canoe Sprint,21,186,85,M
Darvin Edwards,Athletics,25,185,86,M
Darvis Patton,Athletics,34,183,79,M
Darya Pishchalnikova,Athletics,27,188,125,F
Darya Stepanyuk,Swimming,22,174,64,F
Daryl Homer,Fencing,22,173,75,M
Daryna Prystupa,Athletics,24,163,56,F
Daryna Zevina,Swimming,17,182,64,F
Dathan Ritzenhein,Athletics,29,173,55,M
Dato Marsagishvili,Wrestling,21,186,84,M
Daulet Niyazbekov,Wrestling,23,176,55,M
Daulet Shabanbay,Wrestling,18,179,96,M
Daundre Barnaby,Athletics,21,189,75,M
Dave Davies,Swimming,27,190,84,M
Dave Smith,Canoe Sprint,25,183,85,M
David Alegre,Hockey,27,184,75,M
David Andersen,Basketball,32,212,102,M
David Banks,Rowing,28,188,88,M
David Barlow,Basketball,28,205,97,M
David Boudia,Diving,23,175,73,M
David Brandl,Swimming,25,187,82,M
David Burrows,Sailing,35,193,106,M
David Bustos,Athletics,21,181,65,M
David Cal Figueroa,Canoe Sprint,29,183,87,M
David Calder,Rowing,34,195,90,M
David Carry,Swimming,30,184,75,M
David Crawshay,Rowing,32,191,93,M
David Dunford,Swimming,23,193,83,M
David Ferrer,Tennis,30,175,73,M
David Florence,Canoe Slalom,29,188,77,M
David Goffin,Tennis,21,180,69,M
David Greene,Athletics,26,185,78,M
David Hauss,Triathlon,28,182,68,M
David Ilariani,Athletics,31,195,87,M
David J Chapman,Shooting,47,165,70,M
David Karasek,Swimming,24,190,85,M
David Kostelecky,Shooting,37,190,100,M
David Larose,Judo,27,167,66,M
David Lee,Volleyball,30,203,102,M
David Marcus,Equestrian,31,175,61,M
David Martin Lozano,Water Polo,35,177,78,M
David Mckeon,Swimming,20,195,85,M
David Mckienzie,Volleyball,33,193,101,M
David McNeill,Athletics,25,173,52,M
David Mier Y Teran,Sailing,33,171,65,M
David Nalbandian,Tennis,30,180,79,M
David Sain,Rowing,24,186,93,M
David Schroeder,Canoe Slalom,27,180,70,M
David Sharpe,Swimming,21,178,73,M
David Storl,Athletics,22,199,122,M
David Svoboda,Modern Pentathlon,27,184,75,M
David Toth,Canoe Sprint,27,181,81,M
David Tremblay,Wrestling,24,162,55,M
David Vala,Wrestling,34,191,96,M
David Verraszto,Swimming,23,180,73,M
David Wright,Sailing,30,185,80,M
Davis Tarwater,Swimming,28,185,84,M
Davit Khutsishvili,Wrestling,21,172,74,M
Davit Modzmanashvili,Wrestling,25,185,110,M
Dawid Tomala,Athletics,22,182,66,M
Dawit Wolde,Athletics,21,174,63,M
Dawn Harper,Athletics,28,168,61,F
Da-Woon Joung,Judo,23,173,63,F
Dayron Marquez,Athletics,29,178,85,M
Dean Couzins,Hockey,31,182,78,M
Debbie Capozzi,Sailing,31,163,67,F
Debbie Ferguson-McKenzie,Athletics,36,165,63,F
Debbie Flood,Rowing,32,177,75,F
Debora Oakley Gonzalez,Rowing,31,186,72,F
Deborah Rodriguez,Athletics,19,174,63,F
Debra Daniel,Swimming,21,158,68,F
Dede Camara,Swimming,21,159,61,F
Deirdre Ryan,Athletics,30,183,63,F
Dejan Terzic,Canoe Sprint,25,190,94,M
Dejen Gebremeskel,Athletics,22,178,57,M
Delfina Merino,Hockey,22,169,59,F
Deli Liu,Wrestling,32,202,120,M
Delphine Atangana,Athletics,27,170,55,F
Delphine Reau,Shooting,38,171,72,F
Delwayne Delaney,Athletics,29,168,73,M
Denes Varga,Water Polo,25,193,95,M
Deni Fiorentini,Water Polo,28,191,86,M
Denis Alekseyev,Athletics,24,186,75,M
Denis Buntic,Handball,29,199,110,M
Denis Gankin,Archery,22,183,68,M
Denis Istomin,Tennis,25,188,88,M
Denis Koulakov,Shooting,29,174,70,M
Denis Mesples,Equestrian,49,174,69,M
Denis Sefik,Water Polo,35,198,115,M
Denis Tsargush,Wrestling,24,177,74,M
Denisa Rosolova,Athletics,25,175,68,F
Denisa Smolenova,Swimming,23,182,62,F
Deniss Cerkovskis,Modern Pentathlon,33,180,76,M
Deniss Karpak,Sailing,26,200,100,M
Denisse van Lamoen,Archery,32,157,51,F
Deniz Cinar,Sailing,27,173,65,M
Dennis Bowsher,Modern Pentathlon,29,175,73,M
Denys Kaliberda,Volleyball,22,193,95,M
Denys Kushnirov,Shooting,19,175,71,M
Denys Yurchenko,Athletics,34,175,75,M
Deokhyeon Kim,Athletics,26,180,68,M
Deon Lendore,Athletics,19,179,75,M
Deonise Cavaleiro,Handball,29,180,73,F
Derek Burnett,Shooting,41,178,88,M
Derek Drouin,Athletics,22,194,80,M
Derek Mandell,Athletics,25,173,61,M
Derek Miles,Athletics,39,191,88,M
Derek O'farrell,Rowing,29,191,85,M
Derek Wong,Badminton,23,172,66,M
Deron Williams,Basketball,28,191,95,M
Derrick Atkins,Athletics,28,185,88,M
Derval O'Rourke,Athletics,31,167,58,F
Desiree Davila,Athletics,29,155,44,F
Despina Zapounidou,Athletics,26,167,53,F
Destinee Hooker,Volleyball,24,191,75,F
Devid Safaryan,Wrestling,23,170,66,M
Dex Elmont,Judo,28,175,73,M
Diah Permatasari,Fencing,22,159,54,F
Diamond Dixon,Athletics,20,168,51,F
Diana Antonova,Water Polo,19,168,50,F
Diana Detre,Sailing,28,169,57,F
Diana Lobacevske,Athletics,31,175,61,F
Diana Martin,Athletics,31,163,50,F
Diana Neves,Sailing,26,158,63,F
Diana Sokolowska,Swimming,16,175,66,F
Diane Borg,Athletics,21,162,60,F
Diane Nukuri,Athletics,27,186,59,F
Diaz Kusumawardani,Shooting,16,154,49,F
Didier Dinart,Handball,35,197,104,M
Didier Pais,Wrestling,29,168,60,M
Diederik Simon,Rowing,42,190,90,M
Diego Castillo,Swimming,21,175,73,M
Diego Esteban Simonet,Handball,22,190,88,M
Diego Estrada,Athletics,22,180,61,M
Diego Ferrin,Athletics,24,190,72,M
Diego Gonzalez Parro,Sailing,24,180,72,M
Diego Occhiuzzi,Fencing,31,180,80,M
Diego Palomeque,Athletics,18,176,68,M
Diego Ruiz,Athletics,30,178,64,M
Dieter Dekoninck,Swimming,21,189,85,M
Dieudonne Dolassem,Judo,32,181,88,M
Diguan Pigot,Swimming,18,175,75,M
Dijana Jovetic,Handball,28,170,60,F
Dilara Buse Gunaydin,Swimming,23,168,58,F
Diletta Carli,Swimming,16,170,62,F
Dilshod Choriev,Judo,27,178,90,M
Dilshod Mansurov,Wrestling,28,150,55,M
Dilshod Nazarov,Athletics,30,187,120,M
Dimitri Bascou,Athletics,25,182,72,M
Dimitri Colupaev,Swimming,22,189,89,M
Dimitri Goanta,Water Polo,25,202,113,M
Dimitri Peters,Judo,28,188,100,M
Dimitrij Ovtcharov,Table Tennis,23,185,78,M
Dimitrios Chondrokoukis,Athletics,24,195,65,M
Dimitrios Diamadaras,Athletics,28,178,70,M
Dina Aspandiyarova,Shooting,36,158,65,F
Dina Meshref,Table Tennis,18,166,57,F
Ding Chen,Athletics,19,180,62,M
Dinko Jukic,Swimming,23,194,91,M
Dinko Mulic,Canoe Slalom,28,190,87,M
Dino Sefir,Athletics,24,178,61,M
Diogo Carvalho,Swimming,24,181,73,M
Diogo Sclebin,Triathlon,30,190,80,M
Dion Dreesens,Swimming,19,194,83,M
Dionysios Dimou,Sailing,27,180,76,M
Dipna Lim Prasad,Athletics,21,174,54,F
Dirk Demeersman,Equestrian,48,170,72,M
Dirk Schrade,Equestrian,34,183,68,M
Dirk van Tichelt,Judo,28,173,73,M
Dirkie Chamberlain,Hockey,25,169,68,F
Dmitri Gerasimenko,Judo,24,184,90,M
Dmitri Lapkes,Fencing,36,182,78,M
Dmitrii Aleksandrov,Swimming,19,185,75,M
Dmitrii Polishchuk,Sailing,25,183,84,M
Dmitrijs Jurkevics,Athletics,25,186,69,M
Dmitriy Alexanin,Fencing,20,184,82,M
Dmitriy Ilinykh,Volleyball,25,202,94,M
Dmitriy Karpov,Athletics,31,198,98,M
Dmitriy Karuchenko,Fencing,32,180,78,M
Dmitriy Muserskiy,Volleyball,23,218,115,M
Dmitriy Safronov,Athletics,30,189,73,M
Dmitry Khvostov,Basketball,22,190,86,M
Dmitry Larionov,Canoe Slalom,26,185,82,M
Dmitry Polyanskiy,Triathlon,25,182,68,M
Dmitry Starodubtsev,Athletics,26,191,79,M
Dmytro Boyko,Fencing,26,186,82,M
Dmytro Dem'yanyuk,Athletics,29,200,86,M
Dmytro Hrachov,Archery,28,180,90,M
Dmytro Kirpulyanskyy,Modern Pentathlon,27,188,76,M
Dmytro Mikhai,Rowing,22,195,94,M
Dmytro Zavadsky,Badminton,23,174,70,M
Dobrivoje Markovic,Handball,26,188,81,M
Dobromir Dimitrov,Volleyball,21,193,73,M
Docus Inzikuru,Athletics,30,162,50,F
Domagoj Duvnjak,Handball,24,197,99,M
Dominic Dugasse,Judo,27,188,100,M
Dominic King,Athletics,29,178,70,M
Dominik Kozma,Swimming,21,191,77,M
Dominik Meichtry,Swimming,27,183,74,M
Dominika Cibulkova,Tennis,23,161,59,F
Dominique Allen,Basketball,22,188,86,F
Dominique Blake,Athletics,25,178,64,F
Donald Cabral,Athletics,22,178,67,M
Donald Sanford,Athletics,25,195,80,M
Donald Suxho,Volleyball,36,196,95,M
Donald Thomas,Athletics,28,190,81,M
Donald Young,Tennis,23,183,75,M
Donata Vistartaite,Rowing,23,170,65,F
Donatien Schauly,Equestrian,27,177,62,M
Dong Hyun Im,Archery,26,184,100,M
Donggeun Yu,Handball,26,185,71,M
Donglun Song,Water Polo,21,178,82,F
Dongpeng Shi,Athletics,30,192,85,M
Dongxiang Xu,Rowing,29,174,59,F
Dongxiao Li,Hockey,24,174,60,F
Dongyong Kim,Rowing,21,187,87,M
Dong-Young Kim,Athletics,32,176,65,M
Donna Vakalis,Modern Pentathlon,32,164,53,F
Dora Antal,Water Polo,18,168,60,F
Dora Csabai,Water Polo,23,175,62,F
Dora Czigany,Water Polo,19,170,62,F
Dorde Markovic,Swimming,24,195,83,M
Doreen Amata,Athletics,24,198,54,F
Dorian Lance James,Badminton,31,169,87,M
Dorian Mcmenemy,Swimming,15,180,70,F
Dorian Mortelette,Rowing,28,194,90,M
Dorian Scott,Athletics,30,186,132,M
Dorian van Rijsselberge,Sailing,23,190,80,M
Doris Schwaiger,Beach Volleyball,27,171,58,F
Doris Willette,Fencing,24,157,60,F
Dorothee Schneider,Equestrian,43,169,63,F
Dorothy Ludwig,Shooting,33,153,51,F
Douglas Csima,Rowing,26,191,100,M
Douglas Vandor,Rowing,37,180,70,M
Dragan Draskovic,Water Polo,23,192,94,M
Dragan Marjanac,Handball,27,190,90,M
Dragan Stankovic,Volleyball,26,205,80,M
Dragan Travica,Volleyball,25,200,94,M
Drago Vukovic,Handball,29,194,93,M
Dragos Agache,Swimming,28,175,75,M
Dragos Stoenescu,Water Polo,33,196,96,M
Drasko Brguljan,Water Polo,27,194,88,M
Dremiel Deshon Byers,Wrestling,37,188,120,M
Drew Ginn,Rowing,37,195,85,M
Drew Sullivan,Basketball,32,202,98,M
Duane da Rocha Marce,Swimming,24,180,60,F
Duane Solomon,Athletics,27,191,77,M
Duhaeng Lee,Athletics,30,180,64,M
Duk-Jun Lim,Handball,31,186,78,M
Dusan Mandic,Water Polo,18,190,91,M
Dusko Pijetlovic,Water Polo,27,186,95,M
Dylan Armstrong,Athletics,31,193,139,M
Dylan Dunlop-Barrett,Swimming,21,191,75,M
Dylan Wykes,Athletics,29,187,68,M
Dzhamal Otarsultanov,Wrestling,25,163,55,M
Dzianis Harazha,Canoe Sprint,25,181,85,M
Dzianis Mihal,Rowing,26,197,102,M
Dzianis Simanovich,Athletics,25,178,63,M
Dzmitry Marshin,Athletics,39,186,115,M
Dzmitry Meliakh,Modern Pentathlon,33,178,71,M
Dzmitry Platnitski,Athletics,23,190,84,M
Eamon Sullivan,Swimming,26,189,78,M
Ebba Jungmark,Athletics,25,179,57,F
Ebrahim Barkhordari,Shooting,29,170,79,M
Ed Fernon,Modern Pentathlon,24,182,73,M
Ed Mckeever,Canoe Sprint,28,173,79,M
Ed Scott,Water Polo,24,197,85,M
Eddermys Sanchez,Judo,32,157,66,M
Eder Sanchez,Athletics,26,176,66,M
Edgar Cortez,Athletics,22,170,55,M
Edgar Crespo,Swimming,23,179,81,M
Edgaras Venckaitis,Wrestling,26,171,66,M
Edi Maia,Athletics,24,188,84,M
Edickson Contreras Bracho,Diving,21,168,60,M
Edina Gangl,Water Polo,22,181,67,F
Edino Steele,Athletics,25,178,72,M
Edith Bosch,Judo,32,183,70,F
Ediz Yildirimer,Swimming,18,175,65,M
Edna Ngeringwony Kiplagat,Athletics,32,162,50,F
Eduar Villanueva,Athletics,27,172,65,M
Eduard Mikhan,Athletics,23,195,86,M
Eduard Skornyakov,Sailing,31,185,94,M
Eduard Tubau,Hockey,31,180,77,M
Eduarda Amorim,Handball,25,186,84,F
Eduardo Schwank,Tennis,26,183,83,M
Edward Araya,Athletics,26,176,61,M
Edward Gal,Equestrian,42,185,70,M
Edward Ling,Shooting,29,178,76,M
Edward Ockenden,Hockey,25,180,73,M
Edwige Gwend,Judo,22,164,63,F
Edwige Lawson-Wade,Basketball,33,167,61,F
Edwin Ekiring,Badminton,28,180,64,M
Eelco Sintnicolaas,Athletics,25,186,81,M
Efstathios Papadopoulos,Sailing,23,185,74,M
Efthimios Mitas,Shooting,27,190,98,M
Egidijus Balciunas,Canoe Sprint,37,188,90,M
Egle Staisiunaite,Athletics,23,174,59,F
Egor Degtyarev,Swimming,20,202,96,M
Egor Nikolaev,Athletics,24,176,60,M
Ehsan Hadadi,Athletics,27,192,110,M
Ehsan Naser Lashgari,Wrestling,26,180,84,M
Eilidh Child,Athletics,25,171,59,F
Eilish McColgan,Athletics,21,154,53,F
Ek Boonsawad,Sailing,23,182,80,M
Ekaterina Andreeva,Swimming,19,174,64,F
Ekaterina Avramova,Swimming,20,175,65,F
Ekaterina Davydenko,Handball,23,182,75,F
Ekaterina Galitskaya,Athletics,25,174,63,F
Ekaterina Gamova,Volleyball,31,202,80,F
Ekaterina Kabeshova,Volleyball,25,172,61,F
Ekaterina Karsten,Rowing,40,185,80,F
Ekaterina Khomyakova,Beach Volleyball,24,180,62,F
Ekaterina Khuraskina,Modern Pentathlon,22,165,53,F
Ekaterina Kostetskaya,Athletics,25,169,50,F
Ekaterina Lisunova,Water Polo,22,174,62,F
Ekaterina Makarova,Tennis,24,176,60,F
Ekaterina Marennikova,Handball,30,173,70,F
Ekaterina Martynova,Athletics,25,172,59,F
Ekaterina Poistogova,Athletics,21,175,65,F
Ekaterina Poplavskaya,Athletics,25,169,60,F
Ekaterina Prokofyeva,Water Polo,21,166,63,F
Ekaterina Skudina,Sailing,31,168,56,F
Ekaterina Tankeeva,Water Polo,23,168,65,F
Ekaterini Stefanidi,Athletics,22,172,62,F
El Mehdi Malki,Judo,24,198,133,M
Elaheh Ahmadi,Shooting,30,160,58,F
Elaine Pen,Equestrian,22,168,65,F
Elama Fa'atonu,Athletics,18,175,82,M
Elania Nardelli,Shooting,25,160,60,F
Elbek Tazhyieu,Wrestling,26,160,55,M
Elco van der Geest,Judo,33,190,100,M
Eldesoky Shaban,Wrestling,29,185,120,M
Elea Mariama Diarra,Athletics,22,175,60,F
Eleanor Logan,Rowing,24,188,84,F
Eleftherios Konsolas,Rowing,23,173,70,M
Elena Allen,Shooting,40,169,67,F
Elena Arzhakova,Athletics,22,167,54,F
Elena Baltacha,Tennis,28,175,70,F
Elena Churakova,Athletics,25,174,56,F
Elena Danilyuk-Nevmerzhytskaya,Athletics,32,164,56,F
Elena Gemo,Swimming,25,181,69,F
Elena Gigli,Water Polo,27,190,76,F
Elena Isinbaeva,Athletics,30,174,59,F
Elena Ivashchenko,Judo,27,184,103,F
Elena Lashmanova,Athletics,20,170,48,F
Elena Maria Bonfanti,Athletics,24,172,60,F
Elena Mirela Lavric,Athletics,21,164,49,F
Elena Moretti,Judo,25,160,48,F
Elena Oblova,Sailing,24,178,71,F
Elena Popescu,Athletics,22,167,52,F
Elena Richter,Archery,23,174,67,F
Elena Romagnolo,Athletics,29,161,49,F
Elena Rublevska,Modern Pentathlon,36,173,59,F
Elena Sergey Pirozhkov,Wrestling,25,168,63,F
Elena Siuzeva,Sailing,25,169,62,F
Elena Smolyanova,Athletics,26,174,85,F
Elena Timina,Table Tennis,43,177,63,F
Elena Vesnina,Tennis,26,180,65,F
Eleni Artymata,Athletics,26,177,59,F
Eleni Filandra,Athletics,28,174,58,F
Eleonora Giorgi,Athletics,22,162,52,F
Eleonora Lo Bianco,Volleyball,32,171,67,F
Elia Luini,Rowing,33,183,72,M
Eliane Saholinirina,Athletics,30,155,43,F
Elias Cuesta,Archery,27,177,76,M
Elias Malave,Archery,22,179,72,M
Eliecith Palacios,Athletics,24,175,67,F
Eline Berings,Athletics,26,165,58,F
Elio Verde,Judo,24,165,60,M
Elisa Barnard,Archery,19,171,57,F
Elisa Casanova,Water Polo,38,185,100,F
Elisa Di Francisca,Fencing,29,177,65,F
Elisa Rigaudo,Athletics,32,168,55,F
Elisabeth Eberl,Athletics,24,170,69,F
Elisabeth Hogerwerf,Rowing,23,182,72,F
Elisabeth Willeboordse,Judo,33,169,63,F
Elise Chabbey,Canoe Slalom,19,164,56,F
Elise Rechichi,Sailing,26,162,48,F
Eliska Klucinova,Athletics,24,178,69,F
Elizabeta Samara,Table Tennis,23,170,60,F
Elizabeta Savlinis,Athletics,24,176,65,F
Elizabeth Beisel,Swimming,19,168,66,F
Elizabeth Bravo Iniguez,Triathlon,25,160,47,F
Elizabeth Cambage,Basketball,20,203,98,F
Elizabeth Gleadle,Athletics,23,185,84,F
Elizabeth Madden,Equestrian,48,168,62,F
Elizabeth Patrick,Rowing,27,155,50,F
Elizabeth Reid,Volleyball,23,173,60,F
Elizabeth Simmonds,Swimming,21,171,60,F
Elizabeth Storry,Hockey,34,173,74,F
Elizabeth Yin,Sailing,20,167,70,F
Elizaveta Grechishnikova,Athletics,28,168,50,F
Elkhan Mammadov,Judo,30,180,90,M
Ella Gunson,Hockey,23,162,62,F
Ella Nicholas,Canoe Slalom,21,158,62,F
Ellen Gandy,Swimming,20,169,62,F
Ellen Hoog,Hockey,26,164,55,F
Ellen Sprunger,Athletics,25,173,61,F
Ellie Faulkner,Swimming,19,165,55,F
Elliot Hovey,Rowing,29,185,91,M
Elliot van Strydonck,Hockey,24,185,75,M
Ellis E Coleman,Wrestling,20,175,60,M
Elmar Gasimov,Judo,21,188,100,M
Elmir Alimzhanov,Fencing,25,185,72,M
Elnur Mammadli,Judo,24,175,81,M
Elodie Bertrand,Sailing,31,180,69,F
Elodie Clouvel,Modern Pentathlon,23,182,66,F
Elodie Godin,Basketball,27,191,80,F
Elodie Ouedraogo,Athletics,31,175,61,F
Eloise Wellings,Athletics,29,172,52,F
Eloyse Lesueur,Athletics,24,176,64,F
Elsa Baquerizo McMillan,Beach Volleyball,25,181,68,F
El-Sayed Lashin,Table Tennis,32,175,80,M
Elsie Windes,Water Polo,27,178,70,F
Elyes Karamosly,Volleyball,22,194,104,M
Elyzaveta Bryzgina,Athletics,22,172,56,F
Eman Elgammal,Fencing,30,168,51,F
Eman Gaber,Fencing,23,171,61,F
Emanuel Rego,Beach Volleyball,39,190,80,M
Emanuel Silva,Canoe Sprint,26,186,88,M
Emanuela Salopek,Basketball,25,178,66,F
Emanuele Abate,Athletics,27,190,80,M
Emanuele Birarelli,Volleyball,31,200,95,M
Emanuele Fuamatu,Athletics,22,182,100,M
Emanuele Guidi,Archery,42,175,80,M
Emerson Hernandez,Athletics,23,167,61,M
Emil Milev,Shooting,44,178,83,M
Emil Staer,Canoe Sprint,23,198,95,M
Emile Bakale,Swimming,24,188,90,M
Emilia Pikkarainen,Swimming,19,173,54,F
Emiliano Dumestre Guaraglia,Rowing,25,186,70,M
Emilie Evesque,Shooting,23,163,49,F
Emilie Fer,Canoe Slalom,29,172,63,F
Emilie Fournel,Canoe Sprint,25,155,59,F
Emilie Gomis,Basketball,28,178,64,F
Emilie Heymans,Diving,30,170,60,F
Emilie Sinia,Hockey,27,156,47,F
Emilios PAPATHANASIOU,Sailing,39,190,100,M
Emily Diamond,Athletics,21,173,58,F
Emily Hurtz,Hockey,22,175,63,F
Emily Maguire,Hockey,24,169,61,F
Emily Naylor,Hockey,26,167,55,F
Emily Seebohm,Swimming,20,180,70,F
Emily Smith,Hockey,20,159,57,F
Emin Ahmadov,Wrestling,25,170,74,M
Emine Tugba Palazoglu,Basketball,31,172,60,F
Emir Bekric,Athletics,21,195,88,M
Emma Coburn,Athletics,21,173,54,F
Emma Green Tregaro,Athletics,27,180,63,F
Emma Jackson,Triathlon,20,162,51,F
Emma Kanerva,Equestrian,27,168,60,F
Emma Moffatt,Triathlon,27,171,57,F
Emma Twigg,Rowing,25,182,76,F
Emmanouil Mylonakis,Water Polo,27,185,75,M
Emmanuel Biron,Athletics,24,177,65,M
Emmanuel Callender,Athletics,28,189,86,M
Emmanuel Dyen,Sailing,33,180,70,M
Emmanuel Kipchirchir Mutai,Athletics,27,162,52,M
Emmanuel Leroy,Hockey,32,188,79,M
Emmanuel Lucenti,Judo,27,180,81,M
Emmanuel Vanluchene,Swimming,19,179,71,M
Emmeline Ndongue,Basketball,29,192,82,F
Emmie Charayron,Triathlon,22,160,50,F
Endene Miyem,Basketball,24,188,88,F
Endurance Abinuwa,Athletics,25,159,54,F
Enia Nincevic,Sailing,22,173,62,F
Eniko Mironcic,Rowing,26,182,77,F
Enjian Zhang,Swimming,24,188,79,M
Ennio Falco,Shooting,44,168,64,M
Enrico de Maria,Sailing,35,190,99,M
Ensar Hajder,Swimming,21,194,91,M
Enzo Lefort,Fencing,20,189,72,M
Eoin Rheinisch,Canoe Slalom,32,182,74,M
Eran Sela,Sailing,27,171,73,M
Erasmus Pieterse,Hockey,28,189,85,M
Ercument Olgundeniz,Athletics,36,198,50,M
Eric Boateng,Basketball,26,211,114,M
Eric Gillis,Athletics,32,172,58,M
Eric Hurd,Canoe Slalom,26,165,63,M
Eric Johannesen,Rowing,24,193,98,M
Eric Knittel,Rowing,29,191,87,M
Eric Kruger,Athletics,24,175,74,M
Eric Lamaze,Equestrian,44,165,65,M
Eric Murray,Rowing,30,195,98,M
Eric Sehn,Diving,27,175,70,M
Eric Shanteau,Swimming,28,188,79,M
Eric Uptagrafft,Shooting,46,183,95,M
Erica Barbieri,Judo,31,179,70,F
Erica Buratto,Swimming,27,172,60,F
Erica Coppey,Hockey,20,169,62,F
Erica Dittmer Cane,Swimming,20,180,68,F
Erica Morningstar,Swimming,23,178,65,F
Erica Wu,Table Tennis,16,168,54,F
Erick Barrondo,Athletics,21,172,60,M
Erik Balnuweit,Athletics,23,189,80,M
Erik Cadee,Athletics,28,201,120,M
Erik Kynard,Athletics,21,193,86,M
Erik Storck,Sailing,27,180,72,M
Erik Varga,Shooting,36,184,80,M
Erik Vlcek,Canoe Sprint,30,189,90,M
Erika Abril,Athletics,34,158,47,F
Erika Araki,Volleyball,28,186,80,F
Erika Chavez,Athletics,22,170,56,F
Erika Ferraioli,Swimming,26,180,65,F
Erika Miranda,Judo,25,162,52,F
Erika Olivera,Athletics,36,165,55,F
Erika Souza,Basketball,30,197,98,F
Erika Villaecija Garcia,Swimming,28,177,61,F
Erin Cafaro,Rowing,29,175,75,F
Erin Densham,Triathlon,27,164,52,F
Erison Hurtault,Athletics,27,168,73,M
Erlon Silva,Canoe Sprint,21,176,75,M
Errol Nolan,Athletics,20,178,77,M
Ervin Holpert,Canoe Sprint,26,177,84,M
Erwan Le Pechoux,Fencing,30,171,64,M
Erwin Jose Caraballo Cabrera,Wrestling,31,185,96,M
Erwin Maldonado Saavedra,Swimming,29,170,70,M
Erzhan Askarov,Athletics,26,172,70,M
Esau Simpson,Swimming,21,185,75,M
Eskild Ebbesen,Rowing,40,188,75,M
Esra Gumus,Volleyball,29,181,75,F
Esref Apak,Athletics,31,184,115,M
Esteban Bustos Rodriguez,Modern Pentathlon,19,165,60,M
Esteban Enderica Salgado,Swimming,21,177,71,M
Estefania Garcia,Judo,24,165,63,F
Esther Akihary,Athletics,25,166,56,F
Esther Cremer,Athletics,24,170,55,F
Esther Lofgren,Rowing,27,188,79,F
Esthera Petre,Athletics,22,180,57,F
Eszter Dara,Swimming,22,187,67,F
Eszter Povazsay,Swimming,21,183,74,F
Etenesh Diro,Athletics,21,169,47,F
Ethan Warren,Diving,20,173,72,M
Etienne Daille,Canoe Slalom,22,177,65,M
Etienne Lalonde Turbide,Fencing,23,195,59,M
Etienne Stott,Canoe Slalom,33,182,83,M
Euan Burton,Judo,33,182,81,M
Eugene Wang,Table Tennis,26,174,85,M
Eun Bi Lee,Handball,21,163,56,F
Eun Hee Ryu,Handball,22,180,73,F
Eun Seong Hong,Hockey,29,172,72,M
Eunbi Cheon,Hockey,20,162,58,F
Eunice Jepkoech Sum,Athletics,24,159,53,F
Eunji Cho,Hockey,22,165,63,F
Eunseok Oh,Fencing,29,181,76,M
Eunsook Choi,Fencing,26,169,62,F
Eusebio Caceres,Athletics,20,174,69,M
Eva Csernoviczki,Judo,25,160,48,F
Eva de Goede,Hockey,23,169,59,F
Eva Lubbers,Athletics,20,178,65,F
Eva Orban,Athletics,27,174,80,F
Eva Risztov,Swimming,26,173,64,F
Eva Tercelj,Canoe Slalom,20,166,57,F
Eva Viteckova,Basketball,30,190,80,F
Evagelos Delakas,Water Polo,27,190,88,M
Eva-Maria SCHIMAK,Sailing,25,170,68,F
Evan Jager,Athletics,23,188,66,M
Evangelia Psarra,Archery,38,172,63,F
Evdokia Gretchichnikova,Modern Pentathlon,29,167,57,F
Eve Macfarlane,Rowing,19,184,78,F
Evelin Talts,Athletics,35,158,54,F
Evelyn dos Santos,Athletics,27,172,52,F
Evelyn Verraszto,Swimming,23,173,62,F
Ever Palma,Athletics,20,176,66,M
Evgeni Orlov,Wrestling,23,185,120,M
Evgenia Estes,Volleyball,37,191,80,F
Evgeniia Khokhriakova,Water Polo,23,178,70,F
Evgeniia Kolodko,Athletics,22,182,92,F
Evgeniy Lukyanenko,Athletics,27,189,78,M
Evgeniya Belyakova,Basketball,26,184,72,F
Evgeniya Ivanova,Water Polo,25,165,55,F
Evgeniya Polyakova,Athletics,29,164,56,F
Evgeniya Startseva,Volleyball,23,185,68,F
Evgeniya Ukolova,Beach Volleyball,23,181,66,F
Evgeny Korotyshkin,Swimming,29,186,79,M
Evgeny Kuznetsov,Diving,22,170,64,M
Evgeny Lagunov,Swimming,26,190,85,M
Evgeny Salakhov,Canoe Sprint,33,184,84,M
Evgeny Voronov,Basketball,26,194,95,M
Evi Van Acker,Sailing,26,172,70,F
Ewa Palies,Handball,23,173,73,F
Ewelina Ptak,Athletics,25,165,57,F
