Name,Sport,Age,Height (cm),Weight (kg),Sex
Aksana Dziamidava,Swimming,18,167,54,F
Aksana Miankova,Athletics,30,184,81,F
Akvile Stapusaityte,Badminton,26,166,56,F
Akzhurek Tanatarov,Wrestling,25,170,66,M
Alaaeldin Abouelkassem,Fencing,21,188,82,M
Alain Bernard,Swimming,29,196,90,M
Alain Schmitt,Judo,28,176,81,M
Alan Campbell,Rowing,29,191,96,M
Alan Gogaev,Wrestling,22,170,66,M
Alan Khugaev,Wrestling,23,178,84,M
Alan Wills,Archery,31,179,84,M
Alana Boyd,Athletics,28,171,59,F
Alana Millington,Hockey,24,171,67,F
Alana Nicholls,Canoe Sprint,26,172,66,F
Alastair Wilson,Hockey,28,187,84,M
Albert Bravo,Athletics,24,198,85,M
Albert Espanol Lifante,Water Polo,26,189,86,M
Albert Minczer,Athletics,25,179,63,M
Albert Subirats Altes,Swimming,25,193,88,M
Alberto Aguilar,Athletics,27,194,80,M
Alberto Fernandez,Shooting,29,180,106,M
Alberto Michan Halbinger,Equestrian,33,173,70,M
Alberto Paulo,Athletics,26,174,59,M
Albina Mayorova,Athletics,35,167,50,F
Aldo Montano,Fencing,33,185,80,M
Alec Page,Swimming,18,179,73,M
Aleh Yurenia,Canoe Sprint,22,186,90,M
Alejandra Benitez,Fencing,32,162,58,F
Alejandra Orozco Loza,Diving,15,156,47,F
Alejandra Valencia,Archery,17,176,74,F
Alejandra Zavala,Shooting,28,163,82,F
Alejandro Falla,Tennis,28,181,82,M
Alejandro Foglia Costa,Sailing,28,189,84,M
Alejandro Gomez Perez,Swimming,27,184,77,M
Alejandro Madorno,Equestrian,40,183,73,M
Alejandro Zuniga,Judo,24,163,66,M
Aleks Maric,Basketball,27,211,125,M
Aleksa Saponjic,Water Polo,20,191,98,M
Aleksandar Aleksandrov,Rowing,22,189,94,M
Aleksandar Aleksic,Canoe Sprint,20,188,89,M
Aleksandar Atanasijevic,Volleyball,20,200,84,M
Aleksandar Ivovic,Water Polo,26,197,105,M
Aleksandar Karakasevic,Table Tennis,36,180,84,M
Aleksandar Maksimovic,Wrestling,24,180,66,M
Aleksandar Stoyanov Kostadinov,Wrestling,24,160,55,M
Aleksander Lesun,Modern Pentathlon,24,182,75,M
Aleksander Tammert,Athletics,39,196,124,M
Aleksandr Kazakevic,Wrestling,26,176,74,M
Aleksandr Lipatov,Canoe Slalom,31,185,76,M
Aleksandr Menkov,Athletics,21,178,74,M
Aleksandr Onishchenko,Equestrian,43,175,76,M
Aleksandr Petrov,Athletics,25,187,79,M
Aleksandr Shustov,Athletics,28,199,85,M
Aleksandra Cotti,Water Polo,23,166,64,F
Aleksandra Fedoriva,Athletics,23,175,60,F
Aleksandra Kotlyarova,Athletics,23,175,60,F
Aleksandra Privalova,Table Tennis,24,178,70,F
Aleksandra Putra,Swimming,25,181,65,F
Aleksandra Wozniak,Tennis,24,175,63,F
Aleksandrs Samoilovs,Beach Volleyball,27,195,92,M
Aleksejs Rumjancevs,Canoe Sprint,26,185,86,M
Aleksey Dremin,Athletics,23,186,80,M
Aleksey Zagornyi,Athletics,34,197,135,M
Alena Danilochkina,Basketball,26,186,70,F
Alena Hanusova,Basketball,21,190,83,F
Alena Kiyevich,Athletics,24,165,60,F
Alena Matoshka,Athletics,30,177,80,F
Alena Tseliapushkina,Equestrian,43,165,58,F
Aleni Smith,Judo,29,183,73,M
Alesia Zaitsava,Badminton,26,162,60,F
Alessandra Aguilar,Athletics,34,165,50,F
Alessandra Perilli,Shooting,24,170,75,F
Alessandra Sensini,Sailing,42,167,58,F
Alessandro Fabian,Triathlon,24,186,75,M
Alessandro Fei,Volleyball,33,204,90,M
Alessia Filippi,Swimming,25,186,63,F
Alessio Sartori,Rowing,35,202,100,M
Alethea Nevada Sedgman,Shooting,18,179,65,F
Alex Bogomolov Jr,Tennis,29,178,77,M
Alex Bruce,Badminton,22,182,75,F
Alex Danson,Hockey,27,171,56,F
Alex di Giorgio,Swimming,22,185,75,M
Alex Garcia,Basketball,32,192,102,M
Alex Genest,Athletics,26,178,61,M
Alex Giorgetti,Water Polo,24,187,78,M
Alex Gregory,Rowing,28,198,98,M
Alex Haas,Canoe Sprint,17,171,63,M
Alex Meyer,Swimming,24,178,75,M
Alex Misael Suligoy,Shooting,21,180,90,M
Alex Parsonage,Water Polo,27,180,87,M
Alex Partridge,Rowing,31,193,93,M
Alex Quinonez,Athletics,22,176,65,M
Alex Rutlidge,Water Polo,23,170,62,F
Alex Schwazer,Athletics,27,187,70,M
Alex Wilson,Athletics,21,182,78,M
